City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Narsaq,GL,2022-02-02 01:08:36,60.9167,-46.05,14.22,84,14,3.74
60,Airai,TL,2022-02-02 01:10:36,-8.9266,125.4092,69.6,63,100,4.09
61,Laurel,US,2022-02-02 01:10:36,39.0993,-76.8483,36.09,77,0,1.01
62,Faanui,PF,2022-02-02 01:09:38,-16.4833,-151.75,80.94,76,11,19.86
63,Ribeira Grande,PT,2022-02-02 01:09:19,38.5167,-28.7,59.63,74,68,13.24
64,Barrow,US,2022-02-02 01:06:50,71.2906,-156.7887,-16.58,69,0,10.36
65,Georgetown,MY,2022-02-02 01:10:37,5.4112,100.3354,82.33,77,20,3.44
66,Nueva Concepcion,GT,2022-02-02 01:10:37,14.2,-91.3,81.7,64,21,6.49
67,Nurota,UZ,2022-02-02 01:10:38,40.5614,65.6886,37.49,45,100,3.33
68,Dingle,PH,2022-02-02 01:06:56,10.9995,122.6711,79.77,81,100,10.47
69,Saint George,US,2022-02-02 01:10:12,37.1041,-113.5841,46.94,24,0,3.0
70,Cabo San Lucas,MX,2022-02-02 01:07:54,22.8909,-109.9124,71.91,52,0,11.5
71,Clyde River,CA,2022-02-02 01:10:38,70.4692,-68.5914,-27.42,82,95,2.33
72,Rawson,AR,2022-02-02 01:10:39,-43.3002,-65.1023,76.15,36,6,8.86
73,Tasiilaq,GL,2022-02-02 01:10:39,65.6145,-37.6368,12.36,74,100,4.74
74,Tura,IN,2022-02-02 01:10:40,25.5198,90.2201,51.84,73,0,2.75
75,Weligama,LK,2022-02-02 01:10:06,5.9667,80.4167,70.63,88,13,8.88
76,Pevek,RU,2022-02-02 01:07:40,69.7008,170.3133,-6.88,79,100,3.36
77,Palatka,US,2022-02-02 01:10:07,29.6486,-81.6376,59.52,67,21,4.03
78,Springdale,US,2022-02-02 01:09:57,36.1867,-94.1288,55.04,97,100,0.0
79,Emerald,AU,2022-02-02 01:07:12,-23.5333,148.1667,96.35,43,95,11.39
80,Kulaman,PH,2022-02-02 01:10:41,6.4594,124.0892,81.32,68,100,0.89
81,Port Lincoln,AU,2022-02-02 01:08:01,-34.7333,135.8667,62.98,54,99,16.44
82,Bilibino,RU,2022-02-02 01:10:42,68.0546,166.4372,5.99,60,100,6.67
83,Biloela,AU,2022-02-02 01:10:42,-24.4167,150.5,88.09,48,100,7.96
